,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1554,https://www.lottoland.com/en/german-lottery/results-winning-numbers/30-01-2019,German Lotto,30-01-2019,VII,3 Numbers + SuperBall,45674,17.4,"[7, 13, 19, 22, 23, 36]",6,,,,,
1555,https://www.lottoland.com/en/german-lottery/results-winning-numbers/30-01-2019,German Lotto,30-01-2019,VIII,3 Numbers,382477,9.3,"[7, 13, 19, 22, 23, 36]",6,,,,,
1556,https://www.lottoland.com/en/german-lottery/results-winning-numbers/30-01-2019,German Lotto,30-01-2019,IX,2 Numbers + SuperBall,321703,5,"[7, 13, 19, 22, 23, 36]",6,,,,,
1557,https://www.lottoland.com/en/german-lottery/results-winning-numbers/26-01-2019,German Lotto,26-01-2019,I,6 Numbers + SuperBall,0,2881618,"[16, 18, 29, 31, 35, 47]",6,,,,,
1558,https://www.lottoland.com/en/german-lottery/results-winning-numbers/26-01-2019,German Lotto,26-01-2019,II,6 Numbers,1,1670434.2,"[16, 18, 29, 31, 35, 47]",6,,,,,
1559,https://www.lottoland.com/en/german-lottery/results-winning-numbers/26-01-2019,German Lotto,26-01-2019,III,5 Numbers + SuperBall,62,13471.2,"[16, 18, 29, 31, 35, 47]",6,,,,,
1560,https://www.lottoland.com/en/german-lottery/results-winning-numbers/26-01-2019,German Lotto,26-01-2019,IV,5 Numbers,632,3964.6,"[16, 18, 29, 31, 35, 47]",6,,,,,
1561,https://www.lottoland.com/en/german-lottery/results-winning-numbers/26-01-2019,German Lotto,26-01-2019,V,4 Numbers + SuperBall,3996,209,"[16, 18, 29, 31, 35, 47]",6,,,,,
1562,https://www.lottoland.com/en/german-lottery/results-winning-numbers/26-01-2019,German Lotto,26-01-2019,VI,4 Numbers,35399,47.1,"[16, 18, 29, 31, 35, 47]",6,,,,,
1563,https://www.lottoland.com/en/german-lottery/results-winning-numbers/26-01-2019,German Lotto,26-01-2019,VII,3 Numbers + SuperBall,76303,21.8,"[16, 18, 29, 31, 35, 47]",6,,,,,
1564,https://www.lottoland.com/en/german-lottery/results-winning-numbers/26-01-2019,German Lotto,26-01-2019,VIII,3 Numbers,639107,11.7,"[16, 18, 29, 31, 35, 47]",6,,,,,
1565,https://www.lottoland.com/en/german-lottery/results-winning-numbers/26-01-2019,German Lotto,26-01-2019,IX,2 Numbers + SuperBall,585336,5,"[16, 18, 29, 31, 35, 47]",6,,,,,
1566,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-01-2019,German Lotto,23-01-2019,I,6 Numbers + SuperBall,0,No hits,"[6, 7, 33, 35, 37, 42]",3,,,,,
1567,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-01-2019,German Lotto,23-01-2019,II,6 Numbers,3,10735892.8,"[6, 7, 33, 35, 37, 42]",3,,,,,
1568,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-01-2019,German Lotto,23-01-2019,III,5 Numbers + SuperBall,51,13296.7,"[6, 7, 33, 35, 37, 42]",3,,,,,
1569,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-01-2019,German Lotto,23-01-2019,IV,5 Numbers,397,5124.4,"[6, 7, 33, 35, 37, 42]",3,,,,,
1570,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-01-2019,German Lotto,23-01-2019,V,4 Numbers + SuperBall,3197,212.1,"[6, 7, 33, 35, 37, 42]",3,,,,,
1571,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-01-2019,German Lotto,23-01-2019,VI,4 Numbers,26934,50.3,"[6, 7, 33, 35, 37, 42]",3,,,,,
1572,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-01-2019,German Lotto,23-01-2019,VII,3 Numbers + SuperBall,69690,19.4,"[6, 7, 33, 35, 37, 42]",3,,,,,
1573,https://www.lottoland.com/en/german-lottery/results-winning-numbers/23-01-2019,German Lotto,23-01-2019,VIII,3 Numbers,573237,10.6,"[6, 7, 33, 35, 37, 42]",3,,,,,
